City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
Melbu,92,NO,1566671830,78,68.5,14.83,55.0,5.39
Orocue,93,CO,1566671831,58,4.79,-71.34,86.17,9.89
Constitucion,75,MX,1566671814,49,23.99,-104.67,73.99,5.82
Mitsamiouli,20,KM,1566671833,83,-11.38,43.28,77.0,9.17
Outlook,50,CA,1566671835,46,51.48,-107.04,77.0,1.99
Jinchang,48,CN,1566671836,52,38.52,102.19,63.31,5.26
Boyolangu,25,ID,1566671837,94,-8.09,111.9,66.19,5.21
Faya,40,SA,1566671781,37,18.39,42.45,71.6,12.75
Gat,20,SN,1566671839,70,14.69,-16.54,84.2,11.41
Romanovo,89,RU,1566671840,89,56.49,40.39,58.63,9.1
Coihaique,90,CL,1566671842,87,-45.58,-72.07,42.8,8.05
Rosetta,20,EG,1566671843,78,31.4,30.42,82.4,6.93
Mahebourg,75,MU,1566671844,83,-20.41,57.7,69.8,5.82
Borogontsy,0,RU,1566671845,94,62.67,131.17,51.07,0.78
Honningsvag,75,NO,1566671846,81,70.98,25.97,42.8,13.87
Dillon,1,US,1566671848,43,45.22,-112.64,71.01,5.75
Kangaatsiaq,0,GL,1566671849,61,68.31,-53.46,41.35,10.6
Juba,40,EE,1566671850,59,57.82,26.93,64.4,3.36
Road Town,40,VG,1566671851,62,18.42,-64.62,89.6,9.17
Kaabong,49,UG,1566671852,68,3.51,34.14,66.37,4.21
Aberystwyth,67,GB,1566671854,64,52.41,-4.08,73.99,3.0
Hirara,58,JP,1566671855,80,24.8,125.28,84.73,27.49
Dhemaji,76,IN,1566671856,82,27.48,94.56,80.05,2.1
Ordzhonikidze,0,UA,1566671857,52,44.96,35.36,74.11,5.95
Majengo,0,KE,1566671858,82,0.05,34.72,57.2,2.24
Codajas,26,BR,1566671860,33,-3.84,-62.06,98.95,2.95
Union de Tula,91,MX,1566671861,49,19.96,-104.27,80.77,1.39
Pastavy,22,BY,1566671811,89,55.11,26.84,61.69,4.32
Mocuba,65,MZ,1566671863,90,-16.84,36.99,68.71,3.83
Laguna Seca,75,MX,1566671864,72,23.06,-102.49,68.0,9.17
Zalantun,38,CN,1566671865,93,48.0,122.72,54.85,2.28
Saskylakh,61,RU,1566671867,87,71.97,114.09,46.21,5.01
Richards Bay,0,ZA,1566671868,67,-28.77,32.06,71.95,18.7
Kovdor,58,RU,1566671869,84,67.56,30.47,47.83,5.14
Yarega,77,RU,1566671870,89,63.43,53.58,49.27,1.16
Oparino,100,RU,1566671871,97,59.85,48.28,54.31,7.52
Kavaratti,98,IN,1566671873,80,10.57,72.64,82.03,15.48
Isla Vista,1,US,1566671874,50,34.41,-119.86,89.01,3.36
Vardo,20,US,1566671875,36,39.62,-77.74,77.0,8.05
San Policarpo,100,PH,1566671876,88,12.18,125.51,77.89,4.07
Abu Zabad,15,SD,1566671877,73,12.35,29.25,75.91,5.91
Darhan,50,MN,1566671879,95,49.49,105.92,53.05,4.7
Tsiroanomandidy,0,MG,1566671880,34,-18.77,46.05,70.69,4.27
Dicabisagan,100,PH,1566671881,79,17.08,122.42,76.09,3.42
Sorong,87,ID,1566671882,92,-0.86,131.25,73.75,7.11
Brae,100,GB,1566671883,82,60.4,-1.35,60.8,6.93
Beaumont,90,US,1566671885,70,30.09,-94.1,87.8,5.82
Bathsheba,40,BB,1566671886,66,13.22,-59.52,87.8,18.34
Mikhaylovka,96,RU,1566671887,89,52.96,103.29,49.45,1.03
Narsaq,75,GL,1566671888,27,60.91,-46.05,53.6,20.8
Kant,0,KG,1566671889,52,42.89,74.85,66.2,8.95
Hay River,75,CA,1566671891,82,60.82,-115.79,59.0,4.7
Sorland,100,NO,1566671892,82,67.67,12.69,53.23,12.01
Linden,75,GY,1566671893,62,6.01,-58.31,89.6,11.41
Shubarshi,86,KZ,1566671894,21,48.59,57.19,78.43,5.79
Loei,100,TH,1566671895,96,17.49,101.72,70.87,3.87
Yebaishou,2,CN,1566671897,88,41.4,119.64,60.79,4.25
Lasem,10,ID,1566671898,87,-6.99,112.52,70.69,6.06
Kalmunai,79,LK,1566671899,69,7.42,81.82,78.61,1.28
Juneau,90,US,1566671789,93,58.3,-134.42,55.4,6.93
Fairbanks,90,US,1566671901,100,64.84,-147.72,48.99,1.88
Nantucket,1,US,1566671688,60,41.28,-70.1,73.99,16.11
High River,40,CA,1566671904,52,50.58,-113.86,73.99,5.82
Ketchikan,90,US,1566671905,93,55.34,-131.65,59.0,13.87
Antequera,0,ES,1566671906,74,37.02,-4.56,78.8,4.7
Paso de Ovejas,40,MX,1566671907,59,19.28,-96.44,93.2,5.82
Kelvington,89,CA,1566671908,79,52.16,-103.52,64.75,3.49
Terrace,90,CA,1566671909,87,54.52,-128.61,55.4,10.29
Port Blair,100,IN,1566671911,82,11.67,92.75,82.03,22.17
Myanaung,100,MM,1566671912,91,18.28,95.32,74.29,1.97
Bukama,0,CD,1566671913,28,-9.2,25.85,75.55,1.97
Ferrandina,40,IT,1566671915,57,40.5,16.45,84.0,4.7
Tobermory,0,CA,1566671916,54,45.25,-81.67,71.01,7.0
Yar-Sale,100,RU,1566671917,69,66.83,70.83,48.01,20.69
Nigde,2,TR,1566671918,53,37.97,34.68,68.89,13.11
Vanavara,100,RU,1566671919,96,60.35,102.28,52.15,5.68
Norfolk,90,US,1566671920,73,36.85,-76.29,75.99,5.82
Iqaluit,75,CA,1566671922,66,63.75,-68.52,50.0,3.36
Muli,0,CN,1566671923,85,28.08,109.56,73.93,4.36
Pisco,40,PE,1566671924,30,-13.71,-76.2,71.6,10.29
Bandipur,100,IN,1566671925,98,11.67,76.63,63.49,5.41
Pasighat,40,IN,1566671926,72,28.06,95.33,73.21,3.27
Benoy,0,RU,1566671928,61,43.06,46.02,80.6,5.99
Puerto Escondido,20,MX,1566671929,66,15.86,-97.07,87.8,7.14
Hokitika,87,NZ,1566671930,84,-42.72,170.96,49.27,6.85
Bloemhof,0,ZA,1566671931,47,-27.65,25.61,51.79,3.8
Kozlovka,0,RU,1566671932,72,55.84,48.25,60.8,8.95
Ostrovnoy,100,RU,1566671932,94,68.05,39.51,44.05,12.26
Alekseyevsk,100,RU,1566671935,96,57.84,108.35,57.73,6.96
Hualmay,53,PE,1566671936,88,-11.1,-77.61,59.17,10.36
Bisira,90,PA,1566671937,57,8.52,-81.71,84.91,2.35
Bridlington,0,GB,1566671938,60,54.08,-0.19,75.0,11.41
Gigmoto,100,PH,1566671940,79,13.78,124.39,82.75,13.62
Likasi,2,CD,1566671941,37,-10.99,26.74,62.23,1.34
Tessalit,70,ML,1566671942,29,20.2,1.01,96.61,12.35
Ust-Nera,36,RU,1566671943,85,64.57,143.24,46.57,3.98
Lieksa,7,FI,1566671945,95,63.32,30.02,53.41,5.12
Santiago de Cao,90,PE,1566671947,77,-7.96,-79.24,64.4,9.17
Gorom-Gorom,99,BF,1566671948,51,14.45,-0.24,88.69,9.06
Maceio,40,BR,1566671949,65,-9.67,-35.74,80.6,11.41
Manitouwadge,75,CA,1566671950,63,49.12,-85.84,62.6,8.05
Gumdag,0,TM,1566671951,10,39.2,54.59,82.21,16.62
Itacare,20,BR,1566671953,69,-14.28,-39.0,80.6,6.93
Tiznit,41,MA,1566671735,66,29.7,-9.73,73.75,14.94
Sterling,40,US,1566671939,44,39.0,-77.4,80.6,11.41
Chuy,69,UY,1566671865,73,-33.69,-53.46,55.21,6.8
Zhangye,5,CN,1566671957,37,38.94,100.46,67.63,4.74
Devrek,0,TR,1566671958,88,41.22,31.96,75.73,4.18
Valparaiso,1,US,1566671765,38,41.47,-87.06,75.99,10.29
Sao Felix do Xingu,32,BR,1566671961,33,-6.64,-51.99,93.01,6.08
Ommen,0,NL,1566671962,56,52.52,6.43,81.0,3.36
Santa Marta,40,CO,1566671963,66,11.24,-74.21,91.4,4.7
Iguape,86,BR,1566671964,78,-24.7,-47.56,62.95,5.57
Borba,17,BR,1566671966,40,-4.39,-59.59,94.27,3.11
Ulladulla,0,AU,1566671967,52,-35.36,150.48,46.4,4.7
Chumphon,100,TH,1566671968,88,10.5,99.18,75.73,5.19
Syracuse,90,US,1566671969,63,43.05,-76.15,69.8,6.93
Kirakira,100,SB,1566671970,86,-10.46,161.92,77.89,10.2
Quesnel,90,CA,1566671971,82,52.98,-122.49,59.0,4.7
Rundu,0,NA,1566671973,15,-17.91,19.77,69.8,3.36
Yeppoon,90,AU,1566671974,77,-23.13,150.74,62.6,3.36
Srednekolymsk,73,RU,1566671975,62,67.46,153.71,58.99,8.75
Moree,75,AU,1566671976,43,-29.46,149.84,55.4,12.75
General Roca,0,AR,1566671977,42,-39.03,-67.58,66.2,2.24
Idaho Falls,20,US,1566671978,23,43.49,-112.04,80.01,14.99
Formosa,18,BR,1566671980,20,-15.55,-47.33,88.33,4.79
Ushibuka,100,JP,1566671981,79,32.19,130.02,77.17,6.04
Muisne,90,EC,1566671982,78,0.61,-80.02,80.6,9.17
Humaita,20,AR,1566671983,31,-24.93,-65.37,75.2,2.24
Lajedo,51,BR,1566671984,48,-8.66,-36.33,79.69,12.97
Kashiwazaki,99,JP,1566671986,89,37.37,138.57,71.01,9.75
Odiongan,100,PH,1566671987,80,12.4,121.99,80.23,13.18
Santander,75,PH,1566671988,88,9.42,123.33,77.0,4.09
Koslan,100,RU,1566671989,94,63.46,48.9,50.89,1.83
Tual,10,ID,1566671876,84,-5.67,132.75,75.73,15.05
Nouakchott,75,MR,1566671778,70,18.08,-15.98,84.2,14.99
Pokrovsk,76,RU,1566671993,95,61.48,129.14,52.51,2.15
Novoagansk,85,RU,1566671994,92,61.94,76.66,54.13,16.64
Murgab,0,TM,1566671995,29,37.5,61.97,78.8,6.93
Tabas,0,IR,1566671996,15,33.6,56.92,86.0,4.7
Ampanihy,1,MG,1566671997,78,-24.69,44.75,63.85,11.65
Nabire,94,ID,1566671999,98,-3.36,135.5,67.81,3.71
Parrita,20,CR,1566672000,54,9.52,-84.33,84.2,12.75
Sao Miguel do Araguaia,50,BR,1566672001,20,-13.28,-50.16,95.17,7.36
Ajdabiya,0,LY,1566672002,75,30.75,20.22,81.13,22.5
Panzhihua,20,CN,1566672003,75,26.59,101.72,65.11,1.86
Kuandian,0,CN,1566672004,94,40.73,124.78,57.55,3.04
Novosokolniki,22,RU,1566672006,90,56.35,30.15,58.27,3.89
Abu Dhabi,0,AE,1566672007,56,24.47,54.37,96.8,5.82
Port-Gentil,20,GA,1566672008,83,-0.72,8.78,77.0,6.93
Marawi,100,PH,1566672009,89,8.0,124.29,75.99,7.0
Waipawa,0,NZ,1566672010,79,-39.94,176.59,48.0,5.99
Nouna,100,BF,1566672012,85,12.73,-3.87,75.91,9.22
Harnosand,62,SE,1566672013,67,62.63,17.94,60.8,4.7
Motygino,100,RU,1566672014,98,58.18,94.69,52.87,3.91
Wilkie,90,CA,1566672015,72,52.41,-108.71,69.01,9.17
Cocentaina,20,ES,1566672016,78,38.74,-0.44,82.0,5.82
Yanam,100,IN,1566672018,83,16.73,82.22,77.17,11.56
Balkhash,0,KZ,1566671756,31,46.84,74.98,71.41,8.55
Okha,100,RU,1566671973,91,53.59,142.95,49.99,5.59
Ukmerge,0,LT,1566672021,68,55.25,24.75,69.8,2.24
Cabedelo,75,BR,1566672022,83,-6.97,-34.84,78.8,11.41
Barinas,23,VE,1566672024,56,8.64,-70.23,87.97,7.65
Concarneau,75,FR,1566672025,82,47.88,-3.92,71.01,8.05
Turukhansk,100,RU,1566671908,72,65.8,87.96,55.39,6.96
Laguna,40,BZ,1566672027,66,16.17,-88.94,89.6,6.93
Venta,0,LT,1566672028,72,56.19,22.69,68.0,4.03
Klaksvik,97,FO,1566672029,100,62.23,-6.59,51.8,11.41
Opportunity,20,US,1566672030,52,46.11,-112.83,72.0,7.65
Mitchell,40,US,1566672032,61,43.71,-98.03,78.8,21.92
Jining,69,CN,1566672033,78,35.41,116.58,70.51,4.85
Kenai,20,US,1566672034,58,60.55,-151.26,61.0,6.93
Fuerte Olimpo,0,BR,1566672035,20,-21.04,-57.87,98.95,4.99
Cap Malheureux,75,MU,1566672036,83,-19.98,57.61,69.8,5.82
Port Hardy,75,CA,1566671924,93,50.7,-127.42,57.2,3.36
Maniitsoq,0,GL,1566672039,65,65.42,-52.9,45.13,7.4
Acari,21,BR,1566672040,27,-6.44,-36.64,92.83,14.41
